230,Dobson,James,Love Must Be Tough,212,Book,Word,1983,Marriages,1
231,Dobson,James,Home with a Heart,245,Book,Tyndale,1996,Relationships,1
233,Eldredge,John,Waking the Dead,243,Book,Nelson,2003,Counseling,1
234,Cameron,Kirk,The Way of the Master,102,Book,Way,2005,Ministry,1
235,MacArthur,John,The Truth War,224,Book,Nelson,2007,Ministry,1
236,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
237,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
238,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
239,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
240,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
241,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
242,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
243,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
244,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
245,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
246,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
247,Cameron,Kirk,The Way of the Master,,DVD,Way,,Ministry,1
248,Graham,Ruth Bell,Prayers for a Mother's Day,126,Book,Nelson,1999,Worship,1
249,Graham,Ruth Bell,Prodigals and Those Who Love Them,160,Book,Baker,1999,Encouragement,1
250,Graham,Ruth,In Every Pew Sits a Broken Heart,218,Book,Zondervan,2004,Encouragement,1
251,Graham,Franklin,Rebel with a Cause,314,Book,Nelson,1995,Relationships,1
254,Graham,Billy,Just As I Am,760,Book,Zondervan,1997,Ministry,1
255,Colvin,Mildred,Missouri Brides,365,Book,Barbour,2004,Fiction,1
256,Robinson,Marilynne,Gilead,247,Book,Farrar,2004,Fiction,1
257,Bennett,John,Milton J Stewart,323,Book,Xulon,2009,Ministry,1
259,Gray,John,Mars and Venus Together Forever,262,Book,Harper,1994,Relationships,1
260,Gray,John,What Your Mother Couldn't Tell You,427,Book,Harper,1994,Relationships,1
